rank,school_name,state,school_sector,school_type,icsea,value_score,affordability_percentile,sa2_name
1,"Erasmus Primary School",VIC,"Independent","Primary",1187,94.77,91.21,"Hawthorn - South"
2,"Blue Gum Community School",ACT,"Independent","Combined",1164,94.4,93.25,"Hackett"
3,"Christ Church Grammar School",VIC,"Independent","Primary",1213,94.34,90.35,"South Yarra - West"
4,"The Beehive Montessori School",WA,"Independent","Combined",1181,94.27,93.44,"Mosman Park - Peppermint Grove"
5,"Lauriston Girls' School",VIC,"Independent","Combined",1199,94.22,88.76,"Armadale"
6,"Wesley College",VIC,"Independent","Combined",1172,94.06,90.35,"South Yarra - West"
7,"St Hilda's Anglican School for Girls",WA,"Independent","Combined",1171,94.04,93.44,"Mosman Park - Peppermint Grove"
8,"Scotch College",VIC,"Independent","Combined",1188,93.88,91.21,"Hawthorn - South"
9,"Presbyterian Ladies' College",WA,"Independent","Combined",1159,93.71,93.44,"Mosman Park - Peppermint Grove"
10,"Quintilian School",WA,"Independent","Primary",1182,93.5,89.15,"Swanbourne - Mount Claremont"
11,"Melbourne Grammar School",VIC,"Independent","Combined",1177,92.67,90.35,"South Yarra - West"
12,"Melbourne Girls Grammar",VIC,"Independent","Combined",1181,92.28,86.29,"South Yarra - North"
13,"Sacre Coeur",VIC,"Catholic","Combined",1171,91.98,86.18,"Malvern - Glen Iris"
14,"O'Connor Cooperative School",ACT,"Government","Primary",1141,91.75,88.37,"O'Connor (ACT)"
15,"The King David School",VIC,"Independent","Combined",1165,91.65,87.84,"Prahran - Windsor"
16,"Korowa Anglican Girls' School",VIC,"Independent","Combined",1183,91.64,86.18,"Malvern - Glen Iris"
17,"St Michael's Grammar School",VIC,"Independent","Combined",1180,91.6,83.28,"St Kilda - Central"
18,"Perth College",WA,"Independent","Combined",1138,91.6,92.94,"Mount Lawley - Inglewood"
19,"Walford Anglican School for Girls",SA,"Independent","Combined",1162,91.31,86.66,"Goodwood - Millswood"
20,"Sholem Aleichem College",VIC,"Independent","Primary",1168,91.24,83.89,"Elsternwick"
21,"St Catherine's School",VIC,"Independent","Combined",1175,91.18,82.53,"Toorak"
22,"SCEGGS Darlinghurst",NSW,"Independent","Combined",1209,91.17,81.13,"Darlinghurst"
23,"Moerlina School",WA,"Independent","Primary",1143,91.12,89.15,"Swanbourne - Mount Claremont"
24,"Saint Ignatius' College",NSW,"Independent","Combined",1159,91.03,86.13,"Greenwich - Riverview"
25,"Lowther Hall Anglican Grammar School",VIC,"Independent","Combined",1161,90.86,86.85,"Essendon - East"
26,"Canberra Grammar School",ACT,"Independent","Combined",1187,90.86,91.85,"Red Hill (ACT)"
27,"St Anthony's School",VIC,"Catholic","Primary",1141,90.81,91.41,"Alphington - Fairfield"
28,"Clayfield College",QLD,"Independent","Combined",1135,90.78,90.54,"Clayfield"
29,"Sydney Grammar School",NSW,"Independent","Combined",1274,90.59,81.13,"Darlinghurst"
30,"The Geelong College",VIC,"Independent","Combined",1156,90.57,86.92,"Newtown (Vic.)"
31,"St Columba's School",VIC,"Catholic","Primary",1152,90.5,88.61,"Elwood"
32,"St Kevin's College",VIC,"Catholic","Combined",1192,90.49,82.53,"Toorak"
33,"Stuartholme School",QLD,"Catholic","Combined",1159,90.43,92.02,"Bardon"
34,"International School of Western Australia",WA,"Independent","Combined",1180,90.42,80.26,"Innaloo - Doubleview"
35,"St Roch's School",VIC,"Catholic","Primary",1166,90.36,86.18,"Malvern - Glen Iris"
36,"Sophia Mundi Steiner School",VIC,"Independent","Combined",1140,90.36,84.8,"Abbotsford"
37,"Mater Dei Catholic Primary School",QLD,"Catholic","Primary",1160,89.86,90.78,"Ashgrove"
38,"Loreto Mandeville Hall",VIC,"Catholic","Combined",1167,89.85,82.53,"Toorak"
39,"St Peter's College",SA,"Independent","Combined",1164,89.84,85.26,"St Peters - Marden"
40,"Canberra Girls Grammar School",ACT,"Independent","Combined",1177,89.81,84.46,"Deakin"
41,"Mt St Michael's College",QLD,"Catholic","Combined",1155,89.79,90.78,"Ashgrove"
42,"Bold Park Community School",WA,"Independent","Combined",1117,89.44,90.72,"Wembley - West Leederville - Glendalough"
43,"St Joseph's School",VIC,"Catholic","Primary",1156,89.26,86.18,"Malvern - Glen Iris"
44,"Alia College",VIC,"Independent","Secondary",1130,89.14,84.09,"Hawthorn East"
45,"Mosman Church of England Preparatory School",NSW,"Independent","Primary",1206,88.98,74.41,"Mosman - South"
46,"Scotch College",SA,"Independent","Combined",1146,88.93,88.45,"Mitcham (SA)"
47,"Cameragal Montessori School",NSW,"Independent","Primary",1179,88.84,73.7,"North Sydney - Lavender Bay"
